BARRIO,ÍNDICE SEGURIDAD,PRECIO M² VENTA,PRECIO ARRIENDO,latitud,longitud
CHAPINERO NORTE,3.3,6142200,1837000,4.650970000000029,-74.06173999999999
QUINTA CAMACHO (CHAPINERO),3.15,7464600,7166700,4.654520000000048,-74.05950999999999
CASTILLA (KENNEDY),3.14,3793000,1016200,4.639480000000049,-74.14336999999995
SUCRE (CHAPINERO),3.12,5751100,1641700,4.6297100000000455,-74.06640999999996
CONCEPCION NORTE (BARRIOS UNIDOS),3.09,4842500,1309450,4.669710000000066,-74.07784999999996
SAN MARTIN (SANTA FE),3.07,7384150,2500000,4.617020000000025,-74.06731999999994
RIONEGRO (BARRIOS UNIDOS),3.03,6084300,1150000,4.682830000000024,-74.06554999999997
VERACRUZ (SANTA FE),3.03,6252184,5261550,4.603270000000066,-74.07198999999997
MARLY (CHAPINERO),3.03,5563300,1419000,4.636150000000043,-74.06517999999994
SALITRE SUBA,3.03,3557200,1008000,4.754290000000026,-74.08492999999999
SAN FERNANDO OCCIDENTAL (BARRIOS UNIDOS),3.02,4138393,1550000,4.674360000000036,-74.08147999999994
GALERIAS (TEUSAQUILLO),3.01,4918267,2800000,4.641950000000065,-74.07494999999994
QUESADA (GALERÍAS),3.01,6317779,1350000,4.641950000000065,-74.07494999999994
GINEBRA,3.0,6362373,8562500,4.705660000000023,-74.02386999999999
PUERTA DEL SOL,3.0,3443381,1150000,4.744800000000055,-74.10154999999997
CHAPINERO CENTRAL,2.98,5809376,1853928,4.644610000000057,-74.06340999999998
LA CATEDRAL,2.97,4866444,2000000,4.5996900000000664,-74.07384999999994
VILLAS DE GRANADA I,2.96,2813666,1110000,4.717980000000068,-74.12166999999994
CHAPINERO OCCIDENTAL,2.96,5445620,1160500,4.646450000000073,-74.06657999999999
BAVARIA,2.95,4539686,3200000,4.638140000000021,-74.13752999999997
VILLAS DE GRANADA,2.94,5339504,950000,4.7144700000000626,-74.12699999999995
CATALINA II,2.93,2892170,660000,4.605990000000077,-74.17092999999994
VILLA ELISA,2.92,3962551,950000,4.734600000000057,-74.08886999999999
CENTRO FONTIBON,2.9,3211010,2750000,4.676060000000064,-74.14433999999994
HIPOTECHO OCCIDENTAL,2.88,4939813,1165000,4.6219200000000455,-74.13378999999998
SANTA HELENA,2.85,4357475,2220486,4.349220000000059,-74.19986999999998
PIO XII,2.85,2841621,1000000,4.637700000000052,-74.14662999999996
PORCIUNCULA,2.85,5862882,4788750,4.659530000000075,-74.05716999999999
HORIZONTES NORTE,2.85,3423163,1244000,4.760170000000073,-74.02450999999996
PASTRANA,2.84,2229806,750000,4.616360000000043,-74.16533999999996
EL VERGEL ORIENTAL,2.84,4156520,871500,4.647230000000036,-74.14249999999998
BONANZA,2.83,3551435,4650000,4.689430000000073,-74.09058999999996
BANCO CENTRAL,2.83,5815407,1733333,4.64247000000006,-74.07032999999996
LA ASUNCION,2.81,4000000,1090000,4.602850000000046,-74.10488999999995
SAGRADO CORAZON,2.81,6153846,4500000,4.624680000000069,-74.06762999999995
ALQUERIA LA FRAGUA NORTE,2.81,2965517,1000000,4.602750000000071,-74.14005999999995
LISBOA,2.81,5316601,4675294,4.744000000000028,-74.12147999999996
EL CARMEN FONTIBON,2.79,3314255,1000000,4.676400000000058,-74.15101999999996
VOTO NACIONAL,2.79,6915821,3561000,4.603620000000035,-74.08345999999995
HIPOTECHO SUR,2.78,6157822,1375000,4.622980000000041,-74.12724999999995
SANTA LUCIA,2.78,4582204,750000,4.583330000000046,-74.13332999999994
COLON,2.78,3478261,800000,4.621830000000045,-74.11601999999993
LA ESTRADA,2.77,4788011,4450000,4.677380000000028,-74.09354999999994
SANTA HELENITA,2.75,3584337,1100000,4.690840000000037,-74.10448999999994
TABORA,2.74,4200000,1200000,4.693840000000023,-74.09946999999994
SAN FELIPE,2.74,5286364,2695000,4.663490000000024,-74.06404999999995
VILLA AMALIA,2.74,2397260,700000,4.709130000000073,-74.12217999999996
TUNAL ORIENTAL,2.74,3046706,765000,4.57630000000006,-74.12866999999994
PALERMO,2.73,7500000,2350000,4.635140000000035,-74.07205999999996
OSORIO III,2.73,2593207,693333,4.648180000000025,-74.16578999999996
ALCAZARES NORTE,2.73,7750000,8000000,4.666230000000041,-74.06727999999998
GRAN BRITALIA,2.73,2978723,549999,4.618370000000027,-74.17511999999994
SAN BERNARDINO,2.72,4362290,2050000,4.61781000000002,-74.20403999999996
BELALCAZAR,2.72,4429732,1472105,4.6389200000000415,-74.07819999999998
LIBERTADOR,2.72,3101669,1300000,4.58618000000007,-74.11442999999997
PRIMAVERA OCCIDENTAL,2.71,3668264,850000,4.614610000000027,-74.10919999999999
LAS FERIAS,2.71,5500000,4800000,4.68434000000002,-74.08418999999998
CEDRITOS,2.69,5065470,2018018,4.71855000000005,-74.03452999999996
LAS ORQUIDEAS,2.69,3941225,7990000,4.74234000000007,-74.04186999999996
EL PROGRESO,2.67,5000265,7800000,4.600960000000043,-74.09322999999995
MADELENA,2.67,5110617,875000,4.596030000000042,-74.15341999999998
BOSQUE DE PINOS III,2.67,5377429,4466666,4.727860000000021,-74.02366999999998
VERGEL OCCIDENTAL,2.67,3200639,1300000,4.653790000000072,-74.14173999999997
ESPARTILLAL,2.67,6926311,4925000,4.664110000000051,-74.05601999999999
GILMAR,2.67,4532539,1887272,4.744980000000055,-74.06357999999994
SANTA TERESITA,2.66,4795159,2500000,4.631310000000042,-74.07010999999994
ALFONSO LOPEZ,2.66,5084915,1752500,4.639020000000073,-74.07304999999997
SAN CRISTOBAL NORTE,2.66,3887271,1500000,4.739530000000059,-74.02238999999997
LAS VILLAS,2.66,4604909,2818277,4.715470000000039,-74.07121999999998
SANTA FE,2.65,4377826,2450000,4.594590000000039,-74.06404999999995
BARRANCAS NORTE,2.65,4344214,2200000,4.735090000000071,-74.02766999999994
CIUDAD KENNEDY NORTE,2.65,3188997,2200000,4.628610000000037,-74.15459999999996
ANDES NORTE,2.65,5162724,2610517,4.691310000000044,-74.06751999999994
LA CASTELLANA,2.64,5758592,2268500,4.682030000000054,-74.06034999999997
PROVIVIENDA,2.64,2723868,880000,4.610960000000034,-74.13710999999995
SAN GABRIEL NORTE,2.64,7641428,9277710,4.701860000000067,-74.02797999999996
VILLEMAR,2.64,3925887,1117500,4.6705800000000295,-74.13980999999995
EL PINO,2.63,3800577,1192700,4.750700000000052,-74.09221999999994
NORMANDIA OCCIDENTAL,2.63,4945570,1750000,4.672620000000052,-74.10876999999994
EL RETIRO,2.63,9390607,6514000,4.6675500000000625,-74.05159999999995
SANTA BARBARA ORIENTAL,2.63,6158297,2479562,4.6990200000000755,-74.03121999999996
SANTA ANA OCCIDENTAL,2.63,6567220,4412500,4.689760000000035,-74.03672999999998
SAN LUIS,2.62,4708865,2966666,4.566920000000039,-74.10456999999997
LAS FLORES,2.62,3593861,951666,4.741400000000056,-74.08867999999995
CIUDAD TECHO II,2.61,3352252,1048333,4.639980000000037,-74.14853999999997
